subid,batch,maze,day,createdat,task,block,raw_phase,raw_trial,trial,rep,trial_set,replan,start,goal,short_path,action,hits,rt_raw,rt,true_path,maze_wall,sequence_trial_index,is_validation_trial,source,n_action,n_hit,hit_rate,shortest_steps,actual_steps,successful_moves,excess_steps,path_efficiency,final_state,reached_goal,is_optimal_by_length,is_clean_optimal,is_exact_short_path,total_rt,mean_rt,median_rt,first_rt,mean_rt_after_first
13015195273.0,1,1,1,739474.4681,1,1,0,3,4,1,23,0,44,30,"[44, 37, 36, 35, 28, 29, 30]","[1, 3, 1, 3, 0, 2, 1, 3, 1, 3, 0, 2, 1, 3, 1, 3, 0, 2, 1, 3, 1, 3, 0, 2, 1, 3, 1, 3, 0, 2, 1, 3, 1, 3, 0, 2, 1, 3, 1, 3, 0, 2, 1, 3, 1, 3, 0, 2, 1, 3]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[1.55,1.048,0.401,1.068,1.245,0.435,1.301,0.417,0.382,0.419,0.949,0.364,0.419,0.666]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[44, 43, 44, 43, 44, 37, 44, 43, 44, 43, 44, 37, 44, 43, 44, 43, 44, 37, 44, 43, 44, 43, 44, 37, 44, 43, 44, 43, 44, 37, 44, 43, 44, 43, 44, 37, 44, 43, 44, 43, 44, 37, 44, 43, 44, 43, 44, 37, 44, 43, 44]",,3,True,model_rollout,50,0,0.0,6,50,50,44,0.12,44,0,0,0,0,,,,,
13015195273.0,1,1,1,739474.4681,1,1,0,3,4,1,23,0,44,30,"[44, 37, 36, 35, 28, 29, 30]","[0, 3, 0, 1, 0, 1, 2, 2, 1, 1, 1, 0, 3, 3]","[False, False, False, True, False, True, False, False, False, False, False, False, False, False]","[1.55,1.048,0.401,1.068,1.245,0.435,1.301,0.417,0.382,0.419,0.949,0.364,0.419,0.666]","[1.55, 1.048, 0.401, 1.068, 0.2450000000000001, 0.435, 0.30099999999999993, 0.417, 0.382, 0.419, 0.949, 0.364, 0.419, 0.666]","[44, 37, 38, 31, 31, 24, 24, 31, 38, 37, 36, 35, 28, 29, 30]",,3,True,actual_subject,14,2,0.14285714285714285,6,14,12,8,0.42857142857142855,30,1,0,0,0,8.663999999999998,0.6188571428571427,0.419,1.55,0.5472307692307692
13015195273.0,1,1,1,739474.4684,1,1,0,7,8,0,23,0,39,38,"[39, 46, 45, 38]","[3, 2, 3, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[0.877,0.382,0.352]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[39, 40, 47, 48, 41, 48, 41, 48, 41, 48, 41, 48, 41, 48, 41, 48, 41, 48, 41, 48, 41, 48, 41, 48, 41, 48, 41, 48, 41, 48, 41, 48, 41, 48, 41, 48, 41, 48, 41, 48, 41, 48, 41, 48, 41, 48, 41, 48, 41, 48, 41]",,7,True,model_rollout,50,0,0.0,3,50,50,47,0.06,41,0,0,0,0,,,,,
13015195273.0,1,1,1,739474.4684,1,1,0,7,8,0,23,0,39,38,"[39, 46, 45, 38]","[2, 1, 0]","[False, False, False]","[0.877,0.382,0.352]","[0.877, 0.382, 0.352]","[39, 46, 45, 38]",,7,True,actual_subject,3,0,0.0,3,3,3,0,1.0,38,1,1,1,1,1.6109999999999998,0.5369999999999999,0.382,0.877,0.367
13015195273.0,1,1,1,739474.4687,1,1,0,11,12,0,23,0,47,46,"[47, 40, 39, 46]","[3, 0, 2, 1, 0, 2, 0, 1, 2]","[False, False, False, False, False, False, False, False, False]","[0.947,0.364,0.231]","[nan, nan, nan, nan, nan, nan, nan, nan, nan]","[47, 48, 41, 48, 47, 40, 47, 40, 39, 46]",,11,True,model_rollout,9,0,0.0,3,9,9,6,0.3333333333333333,46,1,0,0,0,,,,,
13015195273.0,1,1,1,739474.4687,1,1,0,11,12,0,23,0,47,46,"[47, 40, 39, 46]","[0, 1, 2]","[False, False, False]","[0.947,0.364,0.231]","[0.947, 0.364, 0.231]","[47, 40, 39, 46]",,11,True,actual_subject,3,0,0.0,3,3,3,0,1.0,46,1,1,1,1,1.542,0.514,0.364,0.947,0.2975
13015195273.0,1,1,1,739474.4691,1,1,0,15,16,1,23,0,20,6,"[20, 27, 26, 25, 18, 19, 12, 13, 6]","[3, 0, 0, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[1.625,1.691,0.446,1.299,0.435,0.98,0.454,1.516,0.498]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[20, 21, 14, 7, 0, 7, 0, 7, 0, 7, 0, 7, 0, 7, 0, 7, 0, 7, 0, 7, 0, 7, 0, 7, 0, 7, 0, 7, 0, 7, 0, 7, 0, 7, 0, 7, 0, 7, 0, 7, 0, 7, 0, 7, 0, 7, 0, 7, 0, 7, 0]",,15,True,model_rollout,50,0,0.0,8,50,50,42,0.16,0,0,0,0,0,,,,,
13015195273.0,1,1,1,739474.4691,1,1,0,15,16,1,23,0,20,6,"[20, 27, 26, 25, 18, 19, 12, 13, 6]","[0, 2, 1, 1, 0, 3, 0, 3, 0]","[True, False, False, False, False, False, False, False, False]","[1.625,1.691,0.446,1.299,0.435,0.98,0.454,1.516,0.498]","[1.625, 0.6910000000000001, 0.446, 1.299, 0.435, 0.98, 0.454, 1.516, 0.498]","[20, 20, 27, 26, 25, 18, 19, 12, 13, 6]",,15,True,actual_subject,9,1,0.1111111111111111,8,9,8,1,0.8888888888888888,6,1,0,0,0,7.944,0.8826666666666667,0.6910000000000001,1.625,0.7898750000000001
13015195273.0,1,1,1,739474.4697,1,1,0,19,20,0,23,0,25,0,"[25, 18, 19, 12, 11, 10, 3, 2, 9, 8, 15, 14, 7, 0]","[3, 1, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[0.93,0.832,0.568,0.482,1.515,0.333,0.769,0.632,0.384,0.884,0.351,1.031,0.331,0.404,0.8]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[25, 26, 25, 18, 25, 18, 25, 18, 25, 18, 25, 18, 25, 18, 25, 18, 25, 18, 25, 18, 25, 18, 25, 18, 25, 18, 25, 18, 25, 18, 25, 18, 25, 18, 25, 18, 25, 18, 25, 18, 25, 18, 25, 18, 25, 18, 25, 18, 25, 18, 25]",,19,True,model_rollout,50,0,0.0,13,50,50,37,0.26,25,0,0,0,0,,,,,
13015195273.0,1,1,1,739474.4697,1,1,0,19,20,0,23,0,25,0,"[25, 18, 19, 12, 11, 10, 3, 2, 9, 8, 15, 14, 7, 0]","[0, 3, 0, 3, 1, 1, 1, 0, 1, 2, 1, 2, 1, 0, 0]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[0.93,0.832,0.568,0.482,1.515,0.333,0.769,0.632,0.384,0.884,0.351,1.031,0.331,0.404,0.8]","[0.93, 0.832, 0.568, 0.482, 1.515, 0.333, 0.769, 0.632, 0.384, 0.884, 0.351, 1.031, 0.331, 0.404, 0.8]","[25, 18, 19, 12, 13, 12, 11, 10, 3, 2, 9, 8, 15, 14, 7, 0]",,19,True,actual_subject,15,0,0.0,13,15,15,2,0.8666666666666667,0,1,0,0,0,10.246,0.6830666666666667,0.632,0.93,0.6654285714285715
